id;image;image_content_type;comments;status
1;../fake-data/blob/hipster.png;image/png;Frozen;Fair
2;../fake-data/blob/hipster.png;image/png;Idaho;Fair
3;../fake-data/blob/hipster.png;image/png;Kansas Libyan Arab Jamahiriya;VeryGood
4;../fake-data/blob/hipster.png;image/png;Technician deposit full-range;VeryGood
5;../fake-data/blob/hipster.png;image/png;connecting deposit;VeryGood
6;../fake-data/blob/hipster.png;image/png;initiatives indigo Jordanian Dinar;Excellent
7;../fake-data/blob/hipster.png;image/png;Slovenia Automotive Montserrat;TotalLoss
8;../fake-data/blob/hipster.png;image/png;Innovative Salad;Fair
9;../fake-data/blob/hipster.png;image/png;orchid;Fair
10;../fake-data/blob/hipster.png;image/png;system olive disintermediate;TotalLoss
