id;code;description_ar;description_en
1;Savings Account;access channels;bypassing Hills Home Loan Account
2;Table;lavender;Chips Awesome Metal Ball indexing
3;web services primary;Wisconsin Creative;Clothing Creative
4;Future SAS;Cambridgeshire lime;payment
5;gold;Street one-to-one;Park Program
6;Internal Center;Orchestrator redundant;feed
7;Tuna;Personal Loan Account Taka;mobile overriding
8;Central THX;generating;Research Buckinghamshire
9;Macao interfaces backing up;drive Directives;full-range Dynamic override
10;Keys applications;Virginia Tasty;viral
