id;code;description_ar;description_en
1;JSON;AI Run Officer;XSS synergies
2;orchid;Investment Account;Refined Industrial
3;engineer;Multi-tiered;Horizontal
4;Chicken Cambridgeshire;Cambridgeshire;Lilangeni Branding
5;Field COM infrastructures;International purple District;sensor
6;Baby bleeding-edge;synthesize Alaska hacking;withdrawal access sensor
7;Granite;Berkshire;Belarussian Ruble synergize
8;Chief;Small web services Branding;Senior networks
9;black GB;bypassing;multi-byte indigo
10;parse Solutions Cayman Islands Dollar;GB;Avon 3rd generation Corporate
